episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,3.199880083133342,0.6831048981824193,0.18318429071578513,-6.187758922576904,3.7,[-6.187758922576904 3.7],0.0,False,True,0.7913830968126133,1,17.709159380834848,5.425,prepare,0.0
0,2.0,3.1997327938476117,0.6831032114197831,0.18326595495146542,-6.409618377685547,3.7,[-6.409618377685547 3.7],1.0,False,True,0.7905513581379272,1,17.709159380834848,5.496,in_progress,0.0
0,3.0,3.211028108327529,0.6859289350252578,0.8702964953182604,0.2771286964416504,1.7021993279457095,[0.2771286964416504 1.7021993279457095],1.0,False,True,0.8543581245900534,1,17.709159380834848,5.559,in_progress,0.0
0,4.0,3.2331062981277308,0.685842082240299,0.7469989840414223,-13.542524814605713,3.7,[-13.542524814605713 3.7],1.0,False,True,0.9790282483241964,1,17.709159380834848,5.624,in_progress,0.0
0,5.0,3.2730800030175464,0.6828887135244656,-0.027178734524992403,-9.68505334854126,3.7,[-9.68505334854126 3.7],1.0,False,True,1.204725778906805,1,17.709159380834848,5.694,in_progress,0.0
0,6.0,3.3313487595325864,0.6743883450838076,-1.9863462351090526,5.361003175377846,3.7,[5.361003175377846 3.7],1.0,False,True,1.533683636190772,2,17.709159380834848,5.76,in_progress,0.0
0,7.0,3.404127728201236,0.6688341796037485,-2.6772608193969556,17.878755569458008,3.7,[17.878755569458008 3.7],1.0,False,True,1.9447082012937464,2,17.709159380834848,5.82,in_progress,0.0
0,8.0,3.4905852671429605,0.6760543873508823,-0.16566504443542604,3.2840301990509033,3.7,[3.2840301990509033 3.7],1.0,False,True,2.432926556693692,3,17.709159380834848,5.893,in_progress,0.0
0,9.0,3.594187739969877,0.6917210628216223,3.298472784026944,-18.0,3.7,[-18.0 3.7],1.0,False,True,3.0179775877628625,4,17.709159380834848,5.961,in_progress,0.0
0,10.0,3.714126316043881,0.6970540428081271,3.198343609822041,-18.0,3.7,[-18.0 3.7],1.0,False,True,3.6952563722590446,4,17.709159380834848,6.023,in_progress,0.0
0,11.0,3.8353734423527843,0.6827078430795193,-1.2594666295103423,-13.92632532119751,3.5502456784248353,[-13.92632532119751 3.5502456784248353],1.0,False,True,4.379883885701358,5,17.709159380834848,6.094,in_progress,0.0
0,12.0,3.9866303645983683,0.6433581267855462,-8.712045821567438,11.883738398551941,3.7,[11.883738398551941 3.7],1.0,False,True,5.23392352694957,6,17.709159380834848,6.161,in_progress,0.0
0,13.0,4.12858406527742,0.602386466073005,-13.151973775575549,14.835695028305054,2.3275886435061697,[14.835695028305054 2.3275886435061697],0.5,False,True,6.03542372125052,7,17.709159380834848,6.224,in_progress,0.0
0,14.0,4.299986474653754,0.571020143095234,-12.353493088849623,22.56289529800415,1.1907183289527894,[22.56289529800415 1.1907183289527894],0.5,False,True,7.003231614760617,8,17.709159380834848,6.2940000000000005,in_progress,0.0
0,15.0,4.44881730740426,0.5539983000018756,-9.259704565341746,23.698782920837402,1.2090911209583284,[23.698782920837402 1.2090911209583284],0.5,False,True,7.843617176603164,9,17.709159380834848,6.36,in_progress,0.0
0,16.0,4.578142776537108,0.5495859019092826,-5.831990179519819,17.802244663238525,1.4672212898731232,[17.802244663238525 1.4672212898731232],0.5,False,True,8.573873686927639,10,17.709159380834848,6.43,in_progress,0.0
0,17.0,4.704061551580499,0.5530825989963134,-2.4598435022443055,10.542580604553223,2.2983333103358747,[10.542580604553223 2.2983333103358747],0.5,False,True,9.28491845793494,11,17.709159380834848,6.492,in_progress,0.0
